symbol,fiscal_year,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Earnings From Equity Interest,Total Other Finance Cost,Restructuring And Mergern Acquisition,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Salaries And Wages,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Other Special Charges,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Impairment Of Capital Assets,Minority Interests,Net Income Discontinuous Operations,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Taxes,Average Dilution Earnings,Rent Expense Supplemental
META,2022-12-31,-15795000.0,0.195,37771000000.0,23200000000.0,8686000000.0,25249000000.0,37690000000.0,29004000000.0,276000000.0,185000000.0,461000000.0,23265205000.0,23200000000.0,87665000000.0,28944000000.0,2702000000.0,2687000000.0,8.59,8.63,23200000000.0,23200000000.0,23200000000.0,23200000000.0,23200000000.0,5619000000.0,28819000000.0,-401000000.0,-320000000.0,276000000.0,185000000.0,461000000.0,28944000000.0,62416000000.0,35338000000.0,27078000000.0,91360000000.0,25249000000.0,116609000000.0,115801000000.0,-81000000.0,-81000000.0,,,-81000000.0,15262000000.0,11816000000.0,11816000000.0,,320000000.0,,,,,,,,,,,,,,,,,,,,,,
META,2021-12-31,,,,,,,,,,,,,,,,2859000000.0,2815000000.0,13.77,13.99,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2026-01-31,0.0,0.15117,144552000000.0,120067000000.0,2843000000.0,62475000000.0,144552000000.0,141709000000.0,2041000000.0,259000000.0,2300000000.0,120067000000.0,120067000000.0,85551000000.0,130387000000.0,24514000000.0,24359000000.0,4.9,4.93,120067000000.0,120067000000.0,120067000000.0,120067000000.0,120067000000.0,21383000000.0,141450000000.0,9022000000.0,9022000000.0,2041000000.0,259000000.0,2300000000.0,130387000000.0,23076000000.0,18497000000.0,4579000000.0,153463000000.0,62475000000.0,215938000000.0,215938000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,2025-01-31,0.0,0.132649,86137000000.0,72880000000.0,1864000000.0,32639000000.0,86137000000.0,84273000000.0,1539000000.0,247000000.0,1786000000.0,72880000000.0,72880000000.0,49044000000.0,81453000000.0,24804000000.0,24555000000.0,2.94,2.97,72880000000.0,72880000000.0,72880000000.0,72880000000.0,72880000000.0,11146000000.0,84026000000.0,1034000000.0,1034000000.0,1539000000.0,247000000.0,1786000000.0,81453000000.0,16405000000.0,12914000000.0,3491000000.0,97858000000.0,32639000000.0,130497000000.0,130497000000.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
NVDA,2024-01-31,0.0,0.12,35583000000.0,29760000000.0,1508000000.0,16621000000.0,35583000000.0,34075000000.0,609000000.0,257000000.0,866000000.0,29760000000.0,29760000000.0,27950000000.0,32972000000.0,24940000000.0,24690000000.0,1.19,1.21,29760000000.0,29760000000.0,29760000000.0,29760000000.0,29760000000.0,4058000000.0,33818000000.0,237000000.0,237000000.0,609000000.0,257000000.0,866000000.0,32972000000.0,11329000000.0,8675000000.0,2654000000.0,44301000000.0,16621000000.0,60922000000.0,60922000000.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
NVDA,2023-01-31,-284130000.0,0.21,7339000000.0,4368000000.0,1543000000.0,11618000000.0,5986000000.0,4443000000.0,5000000.0,262000000.0,267000000.0,5436870000.0,4368000000.0,21397000000.0,4224000000.0,25070000000.0,24870000000.0,0.17,0.18,4368000000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,-187000000.0,4181000000.0,-1401000000.0,-48000000.0,5000000.0,262000000.0,267000000.0,5577000000.0,9779000000.0,7339000000.0,2440000000.0,15356000000.0,11618000000.0,26974000000.0,26974000000.0,-1353000000.0,-1353000000.0,-1353000000.0,,,,,,,,1353000000.0,,,,,,,,,,,,,,,,,,,,,
NVDA,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
AMZN,2025-12-31,3004930994.440505,0.196144,150021000000.0,77670000000.0,65756000000.0,356414000000.0,165341000000.0,99585000000.0,2107000000.0,2274000000.0,4381000000.0,65354930994.440506,77670000000.0,636949000000.0,79975000000.0,10827000000.0,10656000000.0,7.17,7.29,77670000000.0,77670000000.0,77670000000.0,77670000000.0,77670000000.0,19087000000.0,97311000000.0,15229000000.0,-91000000.0,2107000000.0,2274000000.0,4381000000.0,79975000000.0,280535000000.0,,58301000000.0,360510000000.0,356414000000.0,716924000000.0,716924000000.0,15320000000.0,15320000000.0,,,15320000000.0,47129000000.0,11172000000.0,11172000000.0,,,,-554000000.0,222234000000.0,,,,,,,,,,,,,,,,,,,
AMZN,2024-12-31,-247916460.197627,0.135031,125651000000.0,59248000000.0,52795000000.0,326288000000.0,123815000000.0,71020000000.0,2271000000.0,2406000000.0,4677000000.0,60836083539.802376,59248000000.0,569366000000.0,68593000000.0,10721000000.0,10473000000.0,5.53,5.66,59248000000.0,59248000000.0,59248000000.0,59248000000.0,59248000000.0,9265000000.0,68614000000.0,-2250000000.0,-414000000.0,2271000000.0,2406000000.0,4677000000.0,68593000000.0,243078000000.0,,55266000000.0,311671000000.0,326288000000.0,637959000000.0,637959000000.0,-1836000000.0,-1836000000.0,,,-1836000000.0,43907000000.0,11359000000.0,11359000000.0,,,,-101000000.0,187812000000.0,,,,,,,,,,,,,,,,,,,
AMZN,2023-12-31,199057432.702293,0.189579,88352000000.0,30425000000.0,48663000000.0,304739000000.0,89402000000.0,40739000000.0,-233000000.0,3182000000.0,2949000000.0,29574057432.702293,30425000000.0,537933000000.0,36852000000.0,10492000000.0,10304000000.0,2.9,2.95,30425000000.0,30425000000.0,30425000000.0,30425000000.0,30425000000.0,7120000000.0,37557000000.0,938000000.0,-112000000.0,-233000000.0,3182000000.0,2949000000.0,36852000000.0,233194000000.0,,56186000000.0,270046000000.0,304739000000.0,574785000000.0,574785000000.0,1050000000.0,1050000000.0,,,1050000000.0,44370000000.0,11816000000.0,11816000000.0,,,,-12000000.0,177008000000.0,,,,,,,,,,,,,,,,,,,
AMZN,2022-12-31,-3415860000.0,0.21,54618000000.0,-2722000000.0,41921000000.0,288831000000.0,38352000000.0,-3569000000.0,-1378000000.0,2367000000.0,989000000.0,10128140000.0,-2722000000.0,501735000000.0,12248000000.0,10189000000.0,10189000000.0,-0.27,-0.27,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-3217000000.0,-5936000000.0,-16806000000.0,-540000000.0,-1378000000.0,2367000000.0,989000000.0,12248000000.0,212904000000.0,,54129000000.0,225152000000.0,288831000000.0,513983000000.0,513983000000.0,-16266000000.0,-16266000000.0,,,-16266000000.0,42238000000.0,11891000000.0,11891000000.0,,,,-3000000.0,158775000000.0,,,,,,,,,,,,,,,,,,,
CRM,2026-01-31,92665000.0,0.215,12117000000.0,7457000000.0,3631000000.0,6634000000.0,12548000000.0,8917000000.0,,,,7118665000.0,7457000000.0,32608000000.0,8331000000.0,956000000.0,950000000.0,7.8,7.85,7457000000.0,7457000000.0,7457000000.0,7457000000.0,7457000000.0,2063000000.0,9520000000.0,603000000.0,172000000.0,,,,8917000000.0,23338000000.0,5993000000.0,16350000000.0,32255000000.0,9270000000.0,41525000000.0,41525000000.0,431000000.0,431000000.0,-1082000000.0,496000000.0,1513000000.0,13350000000.0,3000000000.0,3000000000.0,,,586000000.0,,,995000000.0,995000000.0,995000000.0,995000000.0,,,,,,,,,,,,,,,
CRM,2025-01-31,-97194000.0,0.167,11725000000.0,6197000000.0,3477000000.0,6067000000.0,11143000000.0,7666000000.0,,,,6681806000.0,6197000000.0,30229000000.0,7205000000.0,974000000.0,962000000.0,6.36,6.44,6197000000.0,6197000000.0,6197000000.0,6197000000.0,6197000000.0,1241000000.0,7438000000.0,-228000000.0,354000000.0,,,,7666000000.0,21586000000.0,5493000000.0,15192000000.0,29252000000.0,8643000000.0,37895000000.0,37895000000.0,-582000000.0,-582000000.0,-1043000000.0,582000000.0,461000000.0,12356000000.0,2836000000.0,2836000000.0,,,461000000.0,,,901000000.0,901000000.0,901000000.0,901000000.0,,,,,,,,,,,,,,,
CRM,2024-01-31,-207460000.0,0.164,11223000000.0,4136000000.0,3959000000.0,5473000000.0,9958000000.0,5999000000.0,,,,5193540000.0,4136000000.0,28858000000.0,5011000000.0,984000000.0,974000000.0,4.2,4.25,4136000000.0,4136000000.0,4136000000.0,4136000000.0,4136000000.0,814000000.0,4950000000.0,-1049000000.0,216000000.0,,,,5999000000.0,20317000000.0,4906000000.0,14520000000.0,26316000000.0,8541000000.0,34857000000.0,34857000000.0,-1265000000.0,-1265000000.0,-1454000000.0,466000000.0,189000000.0,11986000000.0,2534000000.0,2534000000.0,,,988000000.0,,,891000000.0,891000000.0,891000000.0,891000000.0,1062000000.0,,,,,,,,,,,,,,
CRM,2023-01-31,-224070000.0,0.21,6711000000.0,208000000.0,3786000000.0,8360000000.0,5644000000.0,1858000000.0,,,,1050930000.0,208000000.0,29494000000.0,1030000000.0,997000000.0,992000000.0,0.21,0.21,208000000.0,208000000.0,208000000.0,208000000.0,208000000.0,452000000.0,660000000.0,-1198000000.0,-131000000.0,,,,1858000000.0,21134000000.0,5055000000.0,16079000000.0,22992000000.0,8360000000.0,31352000000.0,31352000000.0,-1067000000.0,-1067000000.0,-1319000000.0,491000000.0,252000000.0,13526000000.0,2553000000.0,2553000000.0,,,828000000.0,,,916000000.0,916000000.0,916000000.0,916000000.0,1256000000.0,,,,,,,,,,,,,,
CRM,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104000000.0,,,,,,,,,,,,,,
JPM,2025-12-31,220585577.519113,0.214161,,57048000000.0,8821000000.0,,,,95443000000.0,97898000000.0,193341000000.0,56238585577.51911,57048000000.0,,,2781500000.0,2776500000.0,20.02,20.05,55681000000.0,55681000000.0,57048000000.0,57048000000.0,57048000000.0,15547000000.0,72595000000.0,,,,,,,,,60018000000.0,,,181847000000.0,181847000000.0,1030000000.0,1030000000.0,1030000000.0,,-29000000.0,5531000000.0,54487000000.0,,,,-628000000.0,,,,,,,54487000000.0,268000000.0,1099000000.0,-402000000.0,16490000000.0,12356000000.0,7178000000.0,,,,,,,,
JPM,2024-12-31,1294403510.874922,0.221228,,58471000000.0,7938000000.0,,,,92583000000.0,101350000000.0,193933000000.0,53914403510.87492,58471000000.0,,,2879000000.0,2873900000.0,19.75,19.79,56868000000.0,56868000000.0,58471000000.0,58471000000.0,58471000000.0,16610000000.0,75081000000.0,,,,,,,,,56331000000.0,,,169439000000.0,169439000000.0,5851000000.0,5851000000.0,5851000000.0,,-1045000000.0,4974000000.0,51357000000.0,,,,674000000.0,,,,,,,51357000000.0,344000000.0,1259000000.0,-6525000000.0,14857000000.0,11057000000.0,7310000000.0,,,,,,,,
JPM,2023-12-31,-447272000.0,0.196,,49552000000.0,7512000000.0,,,,89267000000.0,81321000000.0,170588000000.0,51386728000.0,49552000000.0,,,2943100000.0,2938600000.0,16.23,16.25,47760000000.0,47760000000.0,49552000000.0,49552000000.0,49552000000.0,12060000000.0,61612000000.0,,,,,,,,,51056000000.0,,,154952000000.0,154952000000.0,-2282000000.0,-2282000000.0,-2282000000.0,,-3218000000.0,4591000000.0,46465000000.0,,,,-2054000000.0,,,,,,,46465000000.0,291000000.0,1501000000.0,4336000000.0,13836000000.0,10235000000.0,6649000000.0,,,,,,,,
JPM,2022-12-31,119232000.0,0.184,,37676000000.0,7051000000.0,,,,66710000000.0,26097000000.0,92807000000.0,37147232000.0,37676000000.0,,,2970000000.0,2965800000.0,12.09,12.1,35892000000.0,35892000000.0,37676000000.0,37676000000.0,37676000000.0,8490000000.0,46166000000.0,,,,,,,,,45547000000.0,,,127727000000.0,127727000000.0,648000000.0,648000000.0,648000000.0,,-2434000000.0,3911000000.0,41636000000.0,,,,0.0,,,,,,,41636000000.0,189000000.0,1595000000.0,-648000000.0,14054000000.0,10174000000.0,6099000000.0,,,,,,,,
GS,2025-12-31,-85380010.982976,0.213985,,17176000000.0,2182000000.0,,,,13559000000.0,66814000000.0,80373000000.0,17489619989.017025,17176000000.0,,,317600000.0,312700000.0,51.32,51.95,16300000000.0,16300000000.0,17176000000.0,17176000000.0,17176000000.0,4676000000.0,21852000000.0,,,,,,,,,19616000000.0,,,58283000000.0,58283000000.0,-399000000.0,-399000000.0,-399000000.0,,0.0,710000000.0,18906000000.0,,,,,,,2182000000.0,2182000000.0,,,18906000000.0,,876000000.0,215000000.0,958000000.0,1770000000.0,12619000000.0,184000000.0,,,,,,,
GS,2024-12-31,-104161819.861934,0.224004,,14276000000.0,2392000000.0,,,,8056000000.0,73341000000.0,81397000000.0,14636838180.138065,14276000000.0,,,333600000.0,328100000.0,40.54,41.07,13525000000.0,13525000000.0,14276000000.0,14276000000.0,14276000000.0,4121000000.0,18397000000.0,,,,,,,,,17352000000.0,,,53512000000.0,53512000000.0,-465000000.0,-465000000.0,-465000000.0,,0.0,646000000.0,16706000000.0,,,,,,,2392000000.0,2392000000.0,,,16706000000.0,,751000000.0,237000000.0,973000000.0,1652000000.0,10933000000.0,228000000.0,,,,,,,
GS,2023-12-31,-645219000.0,0.207,,8516000000.0,4856000000.0,,,,6351000000.0,62164000000.0,68515000000.0,10987781000.0,8516000000.0,,,345800000.0,340800000.0,22.87,23.05,7907000000.0,7907000000.0,8516000000.0,8516000000.0,8516000000.0,2223000000.0,10739000000.0,,,,,,,,,16128000000.0,,,46254000000.0,46254000000.0,-3117000000.0,-3117000000.0,-3117000000.0,,0.0,629000000.0,15499000000.0,,,,,,,2386000000.0,2386000000.0,,,15499000000.0,,609000000.0,529000000.0,1053000000.0,1623000000.0,10180000000.0,2588000000.0,,,,,,,
GS,2022-12-31,-51810000.0,0.165,,11261000000.0,2455000000.0,,,,7678000000.0,21346000000.0,29024000000.0,11523190000.0,11261000000.0,,,358100000.0,352100000.0,30.06,30.42,10764000000.0,10764000000.0,11261000000.0,11261000000.0,11261000000.0,2225000000.0,13486000000.0,,,,,,,,,15960000000.0,,,47365000000.0,47365000000.0,-314000000.0,-314000000.0,-314000000.0,,0.0,812000000.0,15148000000.0,,,,,,,2455000000.0,2455000000.0,,,15148000000.0,,497000000.0,576000000.0,1026000000.0,1887000000.0,9522000000.0,314000000.0,,,,,,,
BAC,2025-12-31,0.0,0.191,,30509000000.0,2314000000.0,,,,60096000000.0,78470000000.0,138566000000.0,30509000000.0,30509000000.0,,,7680900000.0,7521900000.0,3.81,3.86,29055000000.0,29055000000.0,30509000000.0,30509000000.0,30509000000.0,7186000000.0,37695000000.0,,,,,,,,,52246000000.0,,,113097000000.0,113097000000.0,,,,,0.0,6128000000.0,46118000000.0,3772000000.0,,,,,,,,,,42346000000.0,,1454000000.0,,7448000000.0,2580000000.0,7453000000.0,,,,,,,,
BAC,2024-12-31,0.0,0.188,,26973000000.0,2189000000.0,,,,56060000000.0,90547000000.0,146607000000.0,26973000000.0,26973000000.0,,,7935800000.0,7855500000.0,3.21,3.25,25344000000.0,25344000000.0,26973000000.0,26973000000.0,26973000000.0,6250000000.0,33223000000.0,,,,,,,,,49623000000.0,,,105856000000.0,105856000000.0,,,,,0.0,5450000000.0,44173000000.0,3991000000.0,,,,,,,,,,40182000000.0,,1629000000.0,,7289000000.0,2669000000.0,7231000000.0,,,,,,,,
BAC,2023-12-31,0.0,0.064,,26305000000.0,2057000000.0,,,,56931000000.0,73331000000.0,130262000000.0,26305000000.0,26305000000.0,,,8080500000.0,8028600000.0,3.08,3.1,24656000000.0,24656000000.0,26305000000.0,26305000000.0,26305000000.0,6225000000.0,32530000000.0,,,,,,,,,49815000000.0,,,102769000000.0,102769000000.0,-2100000000.0,-2100000000.0,-2100000000.0,,0.0,5535000000.0,44280000000.0,5950000000.0,,,,,,,,,,38330000000.0,,1649000000.0,2100000000.0,7164000000.0,2159000000.0,6707000000.0,,,,,,,,
BAC,2022-12-31,0.0,0.111,,27528000000.0,1978000000.0,,,,52462000000.0,20103000000.0,72565000000.0,27528000000.0,27528000000.0,,,8167500000.0,8113700000.0,3.19,3.21,26015000000.0,26015000000.0,27528000000.0,27528000000.0,27528000000.0,3441000000.0,30969000000.0,,,,,,,,,45946000000.0,,,94950000000.0,94950000000.0,,,,,0.0,5478000000.0,40468000000.0,4021000000.0,,,,,,,,,,36447000000.0,1513000000.0,1513000000.0,,7071000000.0,2142000000.0,6279000000.0,,,,,,,,
BAC,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421000000.0,,,,,,,,,,,,,
PFE,2025-12-31,-1882020000.0,0.21,25745000000.0,7746000000.0,6592000000.0,14349000000.0,16783000000.0,10191000000.0,-2068000000.0,2671000000.0,603000000.0,14825980000.0,7771000000.0,45172000000.0,,5713000000.0,5683000000.0,1.36,1.37,7771000000.0,7771000000.0,7771000000.0,7812000000.0,7787000000.0,-266000000.0,7520000000.0,-7819000000.0,1143000000.0,-2068000000.0,2671000000.0,603000000.0,17407000000.0,29105000000.0,10437000000.0,13794000000.0,46512000000.0,16067000000.0,62579000000.0,62579000000.0,-8962000000.0,-8962000000.0,-9160000000.0,,198000000.0,,,,0.0,,1550000000.0,,,4874000000.0,4874000000.0,4874000000.0,4874000000.0,,,,2670000000.0,,,,4940000000.0,-41000000.0,25000000.0,,,,,
PFE,2024-12-31,-962640000.0,0.21,22711000000.0,8020000000.0,7013000000.0,16124000000.0,18127000000.0,11114000000.0,-2546000000.0,3091000000.0,545000000.0,11641360000.0,8031000000.0,48689000000.0,,5700000000.0,5664000000.0,1.41,1.42,8031000000.0,8031000000.0,8031000000.0,8062000000.0,8051000000.0,-28000000.0,8023000000.0,-4369000000.0,113000000.0,-2546000000.0,3091000000.0,545000000.0,14938000000.0,30838000000.0,10822000000.0,14730000000.0,45776000000.0,17851000000.0,63627000000.0,63627000000.0,-4584000000.0,-4584000000.0,-5864000000.0,432000000.0,1280000000.0,,,,102000000.0,,2419000000.0,,,5286000000.0,5286000000.0,5286000000.0,5286000000.0,,,,675000000.0,,,,3295000000.0,-31000000.0,11000000.0,,525000000.0,,,
PFE,2023-12-31,-912870000.0,0.21,13904000000.0,2134000000.0,6290000000.0,23397000000.0,9557000000.0,3267000000.0,-585000000.0,2209000000.0,1624000000.0,5568130000.0,2119000000.0,55137000000.0,,5709000000.0,5643000000.0,0.37,0.38,2119000000.0,2119000000.0,2119000000.0,2158000000.0,2172000000.0,-1115000000.0,1058000000.0,-2774000000.0,1068000000.0,-585000000.0,2209000000.0,1624000000.0,4417000000.0,30183000000.0,10679000000.0,14771000000.0,34600000000.0,24954000000.0,59554000000.0,59554000000.0,-4347000000.0,-4347000000.0,-6413000000.0,227000000.0,2066000000.0,,,,505000000.0,,2943000000.0,,,4733000000.0,4733000000.0,4733000000.0,4733000000.0,,,,668000000.0,,,,3024000000.0,-39000000.0,-15000000.0,,222000000.0,,,
PFE,2022-12-31,-385344000.0,0.096,45045000000.0,31366000000.0,5064000000.0,32889000000.0,41031000000.0,35967000000.0,-987000000.0,1238000000.0,251000000.0,34994656000.0,31372000000.0,63058000000.0,,5733000000.0,5608000000.0,5.47,5.59,31372000000.0,31372000000.0,31372000000.0,31407000000.0,31401000000.0,3328000000.0,34729000000.0,-2400000000.0,1178000000.0,-987000000.0,1238000000.0,251000000.0,38117000000.0,28714000000.0,11428000000.0,13677000000.0,66831000000.0,34344000000.0,101175000000.0,101175000000.0,-4014000000.0,-4014000000.0,-3055000000.0,52000000.0,-959000000.0,,,,436000000.0,,1451000000.0,,,3609000000.0,3609000000.0,3609000000.0,3609000000.0,,,,1183000000.0,,,,421000000.0,-35000000.0,6000000.0,0.0,,,,
PFE,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000000.0,,,,,,,,,,,,,,,,,,,,,,,,99000000.0,,,,
JNJ,2025-12-31,1044544581.197631,0.177312,35164000000.0,26804000000.0,7503000000.0,30256000000.0,41055000000.0,33552000000.0,85000000.0,971000000.0,1056000000.0,21957544581.19763,26804000000.0,68597000000.0,,2429400000.0,2407939000.0,11.03,11.131511,26804000000.0,26804000000.0,26804000000.0,26804000000.0,26804000000.0,5777000000.0,32581000000.0,6891000000.0,1000000000.0,85000000.0,971000000.0,1056000000.0,25596000000.0,38341000000.0,14665000000.0,23676000000.0,63937000000.0,30256000000.0,94193000000.0,94193000000.0,5891000000.0,5891000000.0,5491000000.0,,400000000.0,,,,,,428000000.0,,,,,,,,,,-6000000000.0,,,,81000000.0,,0.0,,,,,
JNJ,2024-12-31,-1106546713.010128,0.157068,31826000000.0,14066000000.0,7339000000.0,27471000000.0,24781000000.0,17442000000.0,577000000.0,755000000.0,1332000000.0,20004453286.989872,14066000000.0,67572000000.0,,2429400000.0,2406922000.0,5.79,5.843978,14066000000.0,14066000000.0,14066000000.0,14066000000.0,14066000000.0,2621000000.0,16687000000.0,-5145000000.0,1900000000.0,577000000.0,755000000.0,1332000000.0,21249000000.0,40101000000.0,17232000000.0,22869000000.0,61350000000.0,27471000000.0,88821000000.0,88821000000.0,-7045000000.0,-7045000000.0,-6745000000.0,,-300000000.0,,22869000000.0,22869000000.0,,,1034000000.0,,,,,,,-900000000.0,,,5500000000.0,,,,211000000.0,,0.0,,,,,
JNJ,2023-12-31,-92230000.0,0.115,24122000000.0,13326000000.0,7486000000.0,26553000000.0,23320000000.0,15834000000.0,489000000.0,772000000.0,1261000000.0,14035770000.0,35153000000.0,63150000000.0,,2560400000.0,2407078000.0,13.72,14.604014,35153000000.0,35153000000.0,35153000000.0,35153000000.0,13326000000.0,1736000000.0,15062000000.0,-7436000000.0,-6634000000.0,489000000.0,772000000.0,1261000000.0,22009000000.0,36597000000.0,15085000000.0,21512000000.0,58606000000.0,26553000000.0,85159000000.0,85159000000.0,-802000000.0,-802000000.0,-802000000.0,,-600000000.0,,21512000000.0,21512000000.0,,,489000000.0,,,,,,,-1400000000.0,,,7300000000.0,,,,313000000.0,,21827000000.0,,,,,
JNJ,2022-12-31,-162932000.0,0.154,27663000000.0,16370000000.0,6970000000.0,24596000000.0,26605000000.0,19635000000.0,214000000.0,276000000.0,490000000.0,17265068000.0,17941000000.0,58977000000.0,,2663900000.0,2613597000.0,6.73,6.862158,17941000000.0,17941000000.0,17941000000.0,17941000000.0,16370000000.0,2989000000.0,19359000000.0,-1868000000.0,-810000000.0,214000000.0,276000000.0,490000000.0,21013000000.0,34381000000.0,14135000000.0,20246000000.0,55394000000.0,24596000000.0,79990000000.0,79990000000.0,-1058000000.0,-1058000000.0,-1058000000.0,,-700000000.0,,20246000000.0,20246000000.0,,,275000000.0,,,,,,,-1200000000.0,,,2600000000.0,,,,783000000.0,,1571000000.0,,,,,
JNJ,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20118000000.0,20118000000.0,,,,,,,,,,-600000000.0,,,,,,,,,,,,,,
MRK,2025-12-31,-112335690.890967,0.133099,29106000000.0,18254000000.0,5838000000.0,16382000000.0,28262000000.0,22424000000.0,-1014000000.0,1357000000.0,343000000.0,18985664309.10903,18254000000.0,42904000000.0,,2507000000.0,2474626766.0,7.28,7.376466,18254000000.0,18254000000.0,18254000000.0,18263000000.0,18263000000.0,2804000000.0,21067000000.0,-26000000.0,818000000.0,-1014000000.0,1357000000.0,343000000.0,22107000000.0,26522000000.0,15789000000.0,10733000000.0,48629000000.0,16382000000.0,65011000000.0,65011000000.0,-844000000.0,-844000000.0,-889000000.0,,45000000.0,,,,,,889000000.0,,,,,,,,,,,,,,,-9000000.0,,,,,,
MRK,2024-12-31,-73393158.105939,0.1406,26228000000.0,17117000000.0,4499000000.0,15193000000.0,25706000000.0,21207000000.0,-856000000.0,1271000000.0,415000000.0,17565606841.894062,17117000000.0,43947000000.0,,2541000000.0,2527637335.0,6.74,6.771937,17117000000.0,17117000000.0,17117000000.0,17133000000.0,17133000000.0,2803000000.0,19936000000.0,571000000.0,1093000000.0,-856000000.0,1271000000.0,415000000.0,20221000000.0,28754000000.0,17938000000.0,10816000000.0,48975000000.0,15193000000.0,64168000000.0,64168000000.0,-522000000.0,-522000000.0,-309000000.0,,-213000000.0,,,,,,309000000.0,,,,,,,,,,,,,,,-16000000.0,,,,,,
MRK,2023-12-31,-132090000.0,0.21,7536000000.0,365000000.0,3872000000.0,16126000000.0,6907000000.0,3035000000.0,-781000000.0,1146000000.0,365000000.0,861910000.0,365000000.0,57161000000.0,,2607142857.0,2607142857.0,0.14,0.14,365000000.0,365000000.0,365000000.0,377000000.0,377000000.0,1512000000.0,1889000000.0,-284000000.0,345000000.0,-781000000.0,1146000000.0,365000000.0,2954000000.0,41035000000.0,30531000000.0,10504000000.0,43989000000.0,16126000000.0,60115000000.0,60115000000.0,-629000000.0,-629000000.0,-599000000.0,,-30000000.0,,,,,,599000000.0,,,,,,,,,,,,,,,-12000000.0,0.0,,,,,
MRK,2022-12-31,-233181000.0,0.117,23308000000.0,14519000000.0,3909000000.0,17411000000.0,21315000000.0,17406000000.0,-805000000.0,962000000.0,157000000.0,16278819000.0,14519000000.0,41001000000.0,,2542000000.0,2532000000.0,5.71,5.73,14519000000.0,14519000000.0,14519000000.0,14526000000.0,14526000000.0,1918000000.0,16444000000.0,-1033000000.0,960000000.0,-805000000.0,962000000.0,157000000.0,18282000000.0,23590000000.0,13548000000.0,10042000000.0,41872000000.0,17411000000.0,59283000000.0,59283000000.0,-1993000000.0,-1993000000.0,-337000000.0,,-1656000000.0,,,,,,337000000.0,,,,,,,,,,,,,,,-7000000.0,0.0,,,,,
MRK,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704000000.0,,,,,
XOM,2025-12-31,0.0,0.31,67864000000.0,28844000000.0,25993000000.0,252665000000.0,67864000000.0,41871000000.0,-603000000.0,603000000.0,,28844000000.0,28844000000.0,289967000000.0,,4305074627.0,4305074627.0,6.7,6.7,28844000000.0,28844000000.0,28844000000.0,29764000000.0,29764000000.0,11504000000.0,41268000000.0,7933000000.0,2869000000.0,-603000000.0,603000000.0,,33938000000.0,37302000000.0,,11128000000.0,71240000000.0,252665000000.0,323905000000.0,323905000000.0,,,,,,,,,5064000000.0,,,,1007000000.0,,,,,,,,,,,,,-920000000.0,,,,25167000000.0,,
